grupo_id,num_opciones_grupo,offset_hex,texto_original_jp,traduccion_esp,lineas_esp,traduccion_eng,lineas_eng,estado
29,2,0xd9d18,もう少し考えて,"Piensa un poco
mas",2,"Think about it a little
more",2,ok
30,2,0xd9a68,やめた方が…,Mejor no...,1,Better not...,1,ok
30,2,0xda7b8,わたしにまかせて,Dejamelo a mi,1,Leave it to me,1,ok
31,2,0xda9ac,ムラサキババア…？,"La vieja
morada...?",2,The purple hag...?,1,ok
31,2,0xdaca4,ムラサキカガミ…？,"El espejo
morado...?",2,The purple mirror...?,1,ok
32,2,0xd9ab8,かごめかごめ,Kagome Kagome,1,Kagome Kagome,1,ok
32,2,0xd95b8,とおりゃんせ,Toryanse,1,Toryanse,1,ok
33,2,0xda4d4,「とおりゃんせ」,Toryanse,1,"""Toryanse""",1,ok
33,2,0xda560,「かごめかごめ」,Kagome Kagome,1,"""Kagome Kagome""",1,ok
34,3,0xd8994,校庭！,El patio!,1,The schoolyard!,1,ok
34,3,0xd9d88,新校舎の屋上！,"La azotea del
edificio nuevo!",2,"The rooftop of the new
building!",2,ok
34,3,0xd9df8,旧校舎の地下！,"El subterraneo
del edificio viejo!",2,"The basement of the old
building!",2,ok
35,2,0xe9220,やっぱりどっちも墓場へ,"Al final los dos al
cementerio",2,"In the end, both to the
graveyard",2,ok
35,2,0xe908c,ひとつだけ墓場へ,Solo uno al cementerio,1,"Only one to the
graveyard",2,ok
36,2,0xea324,４７７１,4771,1,4771,1,ok
36,2,0xea354,４２１９,4219,1,4219,1,ok
37,3,0xea3b4,電源を切る,Apagar,1,Turn off,1,ok
37,3,0xea470,通話ボタンを押す,"Presiona el boton de
llamada",2,Press the call button,1,ok
37,3,0xea594,メール送信ボタンを押す,"Presiona el boton de
enviar correo",2,"Press the send email
button",2,ok
38,3,0xea384,電源を切る,Apagar,1,Turn off,1,ok
38,3,0xea484,通話ボタンを押す,"Presiona el boton de
llamada",2,Press the call button,1,ok
38,3,0xea5f4,メール送信ボタンを押す,"Presiona el boton de
enviar correo",2,"Press the send email
button",2,ok
39,3,0xea3cc,電源を切る,Apagar,1,Turn off,1,ok
39,3,0xea4c0,通話ボタンを押す,"Presiona el boton de
llamada",2,Press the call button,1,ok
39,3,0xea5c4,メール送信ボタンを押す,"Presiona el boton de
enviar correo",2,"Press the send email
button",2,ok
40,3,0xea430,あっぷっぷっ…,Abupupu...,1,Abupupu...,1,ok
40,3,0xea524,にらめっこしましょ,"Hagamos un concurso de
miradas",2,"Let's have a staring
contest",2,ok
40,3,0xea498,せっせっせっの…,A la de tres...,1,On the count of three...,1,ok
41,3,0xea410,あっぷっぷっ…,Abupupu...,1,Abupupu...,1,ok
41,3,0xea510,にらめっこしましょ,"Hagamos un concurso de
miradas",2,"Let's have a staring
contest",2,ok
41,3,0xea4d4,せっせっせっの…,A la de tres...,1,On the count of three...,1,ok
42,3,0xea330,イオゴク,IOGOKU,1,IOGOKU,1,ok
42,3,0xea36c,ジュウゴク,JUUGOKU,1,JUUGOKU,1,ok
42,3,0xea348,テンゴク,TENGOKU (Cielo),1,TENGOKU (Heaven),1,ok
43,2,0xec178,わかった、協力する,"Entendido, te ayudo",1,"Got it, I'll help you",1,ok
43,2,0xec7ac,面白半分ってよくないよ,"No esta bien hacerlo por
diversion",2,"It's not okay to do it just
for fun",2,ok
44,2,0xec374,電車に乗ろうと思って,Pensaba subir al tren,1,"I was thinking about
getting on the train",2,ok
44,2,0xebfc0,怪奇現象を調べに,"A investigar fenomenos
paranormales",2,"To investigate
paranormal phenomena",2,ok
45,2,0xec2fc,ほかのところに行こう,Vamos a otro lugar,1,Let's go somewhere else,1,ok
45,2,0xec990,地下鉄のウワサ知ってる？,"Conoces el rumor del
metro?",2,"Do you know the subway
rumor?",2,ok
46,2,0xeb9c8,無視しよう,Ignoremoslo,1,Let's ignore it,1,ok
46,2,0xebf20,話を聞いてみよう,Escuchemos lo que dice,1,Let's hear what he says,1,ok
47,2,0xec9ac,最後に聞きたいんですけど,"Por ultimo, queria
preguntarle",2,"Lastly, I wanted to ask
you",2,ok
47,2,0xeb980,さようなら,Adios,1,Goodbye,1,ok
48,3,0xebb1c,わたしも行く,Yo tambien voy,1,I'm coming too,1,ok
48,3,0xebebc,２人とも降りて！,Bajense las dos!,1,"Both of you, get off!",1,ok
48,3,0xeb8f0,じゃあね,Nos vemos,1,See you,1,ok
49,2,0xec44c,ここにいた方がいいよ,Mejor quedate aqui,1,You'd better stay here,1,ok
49,2,0xeb818,降りよう,Bajemos,1,Let's get off,1,ok
50,2,0xec164,ガクブチ　ノ　ウラ,DETRAS DEL MARCO,1,BEHIND THE FRAME,1,ok
50,2,0xec38c,コインロッカーベビー,"Bebe abandonado en un
casillero",2,"Baby abandoned in a
coin locker",2,ok
51,2,0xebe80,乗るのはやめよう,Mejor no subamos,1,We'd better not get on,1,ok
51,2,0xebb2c,電車に乗ろう,Subamos al tren,1,Let's get on the train,1,ok
52,2,0xf0a5c,机で勉強する,Estudiar en el escritorio,1,Study at the desk,1,ok
52,2,0xf07b8,風呂へ入る,Entrar a la banera,1,Get in the bath,1,ok
53,2,0xf062c,玄関に出る,Salir al recibidor,1,Go out to the entryway,1,ok
53,2,0xf0070,出ない,No contesta,1,No answer,1,ok
54,2,0xf0614,玄関に出る,Salir al recibidor,1,Go out to the entryway,1,ok
54,2,0xf00a8,出ない,No contesta,1,No answer,1,ok
55,3,0xf01f4,住所…？,La direccion...?,1,The address...?,1,ok
55,3,0xf0d2c,普通なら日付？,"Normalmente seria la
fecha?",2,"Normally it'd be the
date, right?",2,ok
55,3,0xf0e9c,…サイズかな？,...Sera la talla?,1,...Could it be the size?,1,ok
56,3,0xf1900,そのままにしておく,Dejarlo tal como esta,1,Leave it as it is,1,ok
56,3,0xf2668,捨てればいんじゃない？,No seria mejor botarlo?,1,"Wouldn't it be better to
throw it away?",2,ok
56,3,0xf16bc,再生してみよっか,Probemos a reproducirlo,1,Let's try playing it,1,ok
57,2,0xf0bec,やっぱり放置,Dejarlo como esta,1,Leave it as it is,1,ok
57,2,0xf0710,じゃ、再生,"Bueno, reproducir",1,"Okay, play it",1,ok
58,2,0xf2d20,見て、カレンダーの日付…,"Mira, la fecha del
calendario...",2,"Look, the date on the
calendar...",2,ok
58,2,0xf0b7c,この男…誰？,"Este hombre... quien
es?",2,This man... who is he?,1,ok
59,3,0xf0e4c,まさか…恋人…,"No puede ser... su
pareja...",2,"No way... her
partner...",2,ok
59,3,0xf07a0,家族とか？,Algun familiar?,1,"A family member,
maybe?",2,ok
59,3,0xf125c,たぶんストーカー,"Seguramente es un
acosador",2,It's probably a stalker,1,ok
60,2,0xf09cc,コックリサン,Kokkuri-san,1,Kokkuri-san,1,ok
60,2,0xf12c0,ヒトリカクレンボ,Hitori Kakurenbo,1,Hitori Kakurenbo,1,ok
61,2,0xf157c,もう１回確認する,Revisar una vez mas,1,Check one more time,1,ok
61,2,0xf06b0,もう大丈夫,Ya estoy bien,1,I'm fine now,1,ok
62,2,0xf27a0,１人でする勇気なんて…,"No tengo el valor para
hacerlo sola...",2,"I don't have the guts to
do it alone...",2,ok
62,2,0xf0e0c,２人でやろうよ,Hagamoslo entre las dos,1,"Let's do it together,
just us two",2,ok
63,2,0xf27e8,最初はわたしがかくれる,Primero me escondo yo,1,I'll hide first,1,ok
63,2,0xf1b58,最初はわたしがオニ,"Primero yo sere la que
busca",2,I'll be the seeker first,1,ok
64,2,0xf1338,心の中で３回言う,"Decirlo 3 veces en tu
mente",2,"Say it 3 times in your
mind",2,ok
64,2,0xf1360,心の中で５回言う,"Decirlo 5 veces en tu
mente",2,"Say it 5 times in your
mind",2,ok
65,2,0xf139c,心の中で３回言う,"Decirlo 3 veces en tu
mente",2,"Say it 3 times in your
mind",2,ok
65,2,0xf1464,心の中で５回言う,"Decirlo 5 veces en tu
mente",2,"Say it 5 times in your
mind",2,ok
66,2,0xf2b48,先にテレビを砂嵐にする,"Poner primero la
television en estatica",2,Turn the TV to static first,1,ok
66,2,0xf2458,先に家中の照明を消す,"Apagar antes todas las
luces de la casa",2,"Turn off all the lights in
the house first",2,ok
67,2,0xf36dc,心の中で「もういいかい？」,"Decir en tu mente Estas
listo?",2,"Say 'Are you ready?' in
your mind",2,ok
67,2,0xf1bf8,心の中で１０数える,"Contar hasta 10 en tu
mente",2,Count to 10 in your mind,1,ok
68,2,0xf3d00,『もういいよ』と心の中で３回,"Decir Ya estoy listo 3
veces en tu mente",2,"Say 'I'm ready now' 3
times in your mind",2,ok
68,2,0xf3c00,『見いつけた』と心の中で３回,"Decir Te encontre 3
veces en tu mente",2,"Say 'Found you' 3 times
in your mind",2,ok
69,2,0xf2398,『次はあなたがオニ』,"Ahora te toca ser el
buscador",2,"'Now it's your turn to
be the seeker'",2,ok
69,2,0xf3068,『次はわたしがかくれる』,"Ahora me toca
esconderme a mi",2,"'Now it's my turn to
hide'",2,ok
70,3,0xf0728,床に落とす,Dejarlo caer al piso,1,Drop it on the floor,1,ok
70,3,0xf1540,頭に塩水をかける,"Echarse agua salada en
la cabeza",2,"Pour salt water on your
head",2,ok
70,3,0xf06d4,口にふくむ,Ponerselo en la boca,1,Put it in your mouth,1,ok
71,3,0xf0854,床に落とす,Dejarlo caer al piso,1,Drop it on the floor,1,ok
71,3,0xf15b8,頭に塩水をかける,"Echarse agua salada en
la cabeza",2,"Pour salt water on your
head",2,ok
71,3,0xf0608,口にふくむ,Ponerselo en la boca,1,Put it in your mouth,1,ok
72,2,0xf2a28,もう一度中を調べてみる,"Revisar el interior una
vez mas",2,"Check the inside one
more time",2,ok
72,2,0xf2488,今度は外を調べてみる,"Esta vez investigar
afuera",2,"This time investigate
outside",2,ok
73,2,0xf0dec,物置に行く…？,Ir al deposito...?,1,"Go to the storage
room...?",2,ok
73,2,0xf15f4,部屋に戻らない？,No volvemos al cuarto?,1,"Shouldn't we go back to
the room?",2,ok
74,2,0xf2ae8,ストーカー殺人について,"Sobre el asesinato del
acosador",2,About the stalker murder,1,ok
74,2,0xf1e50,倉田裕見子について,Sobre Kurata Yumiko,1,About Yumiko Kurata,1,ok
75,2,0xf16d0,のぞくしかない！,"No queda otra que
espiar!",2,"There's nothing to do
but peek!",2,ok
75,2,0xf1ea0,怖くてのぞけない…,"Da miedo, no puedo
mirar...",2,"It's scary, I can't
look...",2,ok
76,3,0xf0c4c,ね……リコ……,Oye... Riko...,1,Hey... Riko...,1,ok
76,3,0xf08fc,いやあああ！,Noooo!,1,Noooo!,1,ok
76,3,0xf25c0,（リコに…教えなきゃ）,"(Tengo que contarselo a
Riko...)",2,(I need to tell Riko...),1,ok
77,2,0xf0bbc,するしかない,"No queda otra que
hacerlo",2,"There's no choice but to
do it",2,ok
77,2,0xf17d4,まだ、ためらいが…,"Todavia dudo un
poco...",2,"I'm still a little
hesitant...",2,ok
78,2,0xf25f0,「最初はわたしがオニ」,"Primero yo soy la que
busca",2,"""I'll be the seeker first""",1,ok
78,2,0xf2608,「最初はあなたがオニ」,"Primero tu eres el que
busca",2,"""You'll be the seeker
first""",2,ok
79,2,0xf11f8,心の中で１回言う,"Decirlo 1 vez en tu
mente",2,Say it once in your mind,1,ok
79,2,0xf10cc,心の中で３回言う,"Decirlo 3 veces en tu
mente",2,"Say it 3 times in your
mind",2,ok
80,2,0xf1504,心の中で１回言う,"Decirlo 1 vez en tu
mente",2,Say it once in your mind,1,ok
80,2,0xf1248,心の中で３回言う,"Decirlo 3 veces en tu
mente",2,"Say it 3 times in your
mind",2,ok
81,2,0xf3b00,目を閉じて心の中で１０数える,"Cerrar los ojos y contar
hasta 10 en tu mente",2,"Close your eyes and
count to 10 in your mind",2,ok
81,2,0xf34e4,テレビをつけて、電気を消す,"Encender la television y
apagar la luz",2,"Turn on the TV and turn
off the light",2,ok
82,2,0xf3500,テレビをつけて、電気を消す,"Encender la television y
apagar la luz",2,"Turn on the TV and turn
off the light",2,ok
82,2,0xf2dac,電気を消しテレビをつける,"Apagar la luz y encender
la television",2,"Turn off the light and
turn on the TV",2,ok
83,2,0xf3bc0,目を閉じて心の中で１０数える,"Cerrar los ojos y contar
hasta 10 en tu mente",2,"Close your eyes and
count to 10 in your mind",2,ok
83,2,0xf35a8,目を閉じて心の中で３数える,"Cerrar los ojos y contar
hasta 3 en tu mente",2,"Close your eyes and
count to 3 in your mind",2,ok
84,2,0xf2ea8,『見いつけた』と３回言う,"Decir Te encontre 3
veces",2,Say 'Found you' 3 times,1,ok
84,2,0xf3618,『つかまえたあ』と３回言う,Decir Te atrape 3 veces,1,Say 'Gotcha' 3 times,1,ok
85,2,0xf2248,次はわたしがかくれる,"Ahora me toca
esconderme a mi",2,Now it's my turn to hide,1,ok
85,2,0xf1388,次はあなたがオニ,"Ahora te toca ser el
buscador",2,"Now it's your turn to be
the seeker",2,ok
86,2,0xf3688,『つかまえたあ』と３回言う,Decir Te atrape 3 veces,1,Say 'Gotcha' 3 times,1,ok
86,2,0xf2f88,『見いつけた』と３回言う,"Decir Te encontre 3
veces",2,Say 'Found you' 3 times,1,ok
87,2,0xf2188,次はわたしがかくれる,"Ahora me toca
esconderme a mi",2,Now it's my turn to hide,1,ok
87,2,0xf1630,次はあなたがオニ,"Ahora te toca ser el
buscador",2,"Now it's your turn to be
the seeker",2,ok
88,3,0xf116c,机の下にかくれる,"Esconderse bajo el
escritorio",2,Hide under the desk,1,ok
88,3,0xf1e14,押し入れにかくれる,Esconderse en el armario,1,Hide in the closet,1,ok
88,3,0xf15cc,ベッドにかくれる,Esconderse en la cama,1,Hide in the bed,1,ok
89,2,0xf0644,外をのぞく,Mirar afuera,1,Look outside,1,ok
89,2,0xf0b8c,耳をすませる,Aguzar el oido,1,Listen carefully,1,ok
90,2,0xf1fd8,ひたすらたえるしか…,"No queda mas que
aguantar...",2,"There's nothing left to
do but endure it...",2,ok
90,2,0xf17fc,ケータイで助けを…,"Pedir ayuda con el
celular...",2,"Call for help with the
phone...",2,ok
91,2,0xf189c,よしっ、外に出よう,"Bien, salgamos afuera",1,"Alright, let's go outside",1,ok
91,2,0xf2650,もう少しかくれていよう,"Quedemonos escondidos
un poco mas",2,"Let's stay hidden a little
longer",2,ok
92,2,0xf26b0,わたしの勝ちと３回言う,"Decir 3 veces que yo
gane",2,Say 'I win' 3 times,1,ok
92,2,0xf2d58,ぬいぐるみに塩水をかける,"Echarle agua salada al
peluche",2,"Pour salt water on the
stuffed animal",2,ok
93,2,0xf2758,わたしの勝ちと３回言う,"Decir 3 veces que yo
gane",2,Say 'I win' 3 times,1,ok
93,2,0xf2e70,かくれんぼ終了と３回言う,"Decir 3 veces que el
escondite termino",2,"Say 'hide-and-seek is
over' 3 times",2,ok
94,2,0xfa8a4,うん、わかった,"Si, entendido",1,"Yeah, got it",1,ok
94,2,0xfb314,レイカも誘ってみない？,"No invitamos a Reika
tambien?",2,"Shouldn't we invite
Reika too?",2,ok
95,3,0xfaa44,そこをなんとか,"Por favor, hazme el
favor",2,"Please, do me a favor",1,ok
95,3,0xfa4b0,どうして？,Por que?,1,Why?,1,ok
95,3,0xfa2ac,わかった,Entendido,1,Got it,1,ok
96,3,0xfaa14,変な夢を見て…,Tuve un sueno raro...,1,I had a weird dream...,1,ok
96,3,0xfb644,どんなトコなんですか？,Que tipo de lugar es?,1,What kind of place is it?,1,ok
96,3,0xfa724,じゃあこれで,"Bueno, es todo",1,"Well, that's it",1,ok
97,3,0xfa844,変な夢を見て…,Tuve un sueno raro...,1,I had a weird dream...,1,ok
97,3,0xfb3a4,どんなトコなんですか？,Que tipo de lugar es?,1,What kind of place is it?,1,ok
97,3,0xfadf8,ホントに大丈夫です,De verdad estoy bien,1,I'm really fine,1,ok
98,2,0xfa6a4,１番先がいい,Prefiero ir primero,1,I'd rather go first,1,ok
98,2,0xfa570,最後がいい,Prefiero al final,1,I'd rather go last,1,ok
99,2,0xfa4ec,早く出よう,Salgamos rapido,1,Let's get out quickly,1,ok
99,2,0xfa504,確かめよう,Vamos a comprobarlo,1,Let's check it,1,ok
100,3,0xfa9e4,早く逃げよう！,Escapemos rapido!,1,Let's run away quick!,1,ok
100,3,0xfb4f4,なにが起こっているの？,Que esta pasando?,1,What's going on?,1,ok
100,3,0xfb1c4,レイカに電話しなきゃ,Tengo que llamar a Reika,1,I need to call Reika,1,ok
101,2,0xface0,あなたは誰なの？,Quien es usted?,1,Who are you?,1,ok
101,2,0xfb56c,ハセガワさん、待って！,"Senor Hasegawa,
espere!",2,"Mr. Hasegawa, wait!",1,ok
102,2,0xfb68c,あのピエロに心当たりは？,"Tiene idea de quien es
ese payaso?",2,"Do you have any idea
who that clown is?",2,ok
102,2,0xfba60,あの白い影に心当たりは？,"Tiene idea de que es esa
sombra blanca?",2,"Any idea about
that white shadow?",2,acortado-2026-09-15
103,2,0xfb65c,戦う武器はないですか？,"No hay algun arma para
pelear?",2,"Isn't there some weapon
to fight with?",2,ok
103,2,0xfb0a4,逃げ道はないですか？,"No hay alguna via de
escape?",2,"Isn't there some way to
escape?",2,ok
104,3,0xfaad8,観覧車の設計図？,"Los planos de la rueda
de la fortuna?",2,"The Ferris wheel
blueprints?",2,ok
104,3,0xfaaa4,子供の落書き？,Un garabato de nino?,1,A kid's scribble?,1,ok
104,3,0xfa884,なにかの暗号？,Sera algun codigo?,1,"Could it be some kind of
code?",2,ok
105,2,0xfa904,アカイクレヨン,Crayon rojo,1,Red crayon,1,ok
105,2,0xfb32c,ツケナクテ　ヨカッタナ,"QUE BUENO QUE NO LO
USASTE",2,"GOOD THING YOU DIDN'T
USE IT",2,ok
106,3,0xfadbc,メリーゴーラウンド,Carrusel,1,Carousel,1,ok
106,3,0xfa6d4,ミラーハウス,Casa de espejos,1,Mirror house,1,ok
106,3,0xfa54c,お化け屋敷,Casa embrujada,1,Haunted house,1,ok
107,2,0x102238,ホントに呪われてるかも,"Puede que de verdad
este maldito",2,"This place might
really be cursed",2,rewrap-2026-09-15
107,2,0x101864,…先生……助けて…,"...Profesor...
ayudeme...",2,"...Teacher...help
me...",2,sincronizado-2026-09-17
108,2,0x102cb0,わたしも入ろうかな、水泳部,"Quizas tambien me una
al club de natacion",2,"Maybe I should join
the swim club too",2,rewrap-2026-09-15;acortado-2026-09-15
108,2,0x1027fc,リコの話になると楽しそう,"Cuando se habla de
Riko, se ve feliz",2,"She looks happy
whenever Riko comes up",2,rewrap-2026-09-15
109,2,0x101a70,わたし、もう帰るね…,Yo ya me voy a casa...,1,"I'm heading
home now...",2,rewrap-2026-09-15
109,2,0x1019b0,…この木…どこかで…,"...Este arbol...en
algun lado...",2,"...This tree...I've
seen it somewhere...",2,rewrap-2026-09-15
110,3,0x101e00,桐塚に行ったことない？,No has ido a Kirizuka?,1,"Have you never
been to Kirizuka?",2,rewrap-2026-09-15
110,3,0x1024d0,交通事故にあわなかった？,"No tuviste un accidente
de transito?",2,"Weren't you in a
traffic accident?",2,rewrap-2026-09-15
110,3,0x101580,……ううん、ごめん,"......No, nada,
perdon",2,"......No,
nothing, sorry",2,rewrap-2026-09-15
111,3,0x100fe0,まさか、ユウタ？,No sera Yuuta?,1,Could it be Yuuta?,1,ok
111,3,0x101148,まさか、マサキ？,No sera Masaki?,1,Could it be Masaki?,1,ok
111,3,0x100d9c,まさか、リコ？,No sera Riko?,1,Could it be Riko?,1,ok
112,3,0x102620,でもレイカはナナシだって,"Pero dicen que Reika es
Nanashi",2,"But they say
Reika is Nanashi",2,rewrap-2026-09-15
112,3,0x102428,こういう時は人が多い方が,"En momentos asi, es
mejor tener mas gente",2,"At times like this,
more people are better",2,acortado-2026-09-15
112,3,0x1019e0,レイカは…どう思う？,Reika...tu que crees?,1,"Reika...what
do you think?",2,rewrap-2026-09-15
113,3,0x100574,教室じゃ…,En el salon...,1,In the classroom...,1,ok
113,3,0x100f4c,トイレはどう？,Y el bano?,1,"What about
the bathroom?",2,rewrap-2026-09-15
113,3,0x100c3c,プールは違う？,La piscina no es?,1,It's not the pool?,1,ok
114,2,0x101f50,さあ、誰なんでしょうね,"Quien sera, me pregunto",1,"Hmm, I wonder
who it could be",2,rewrap-2026-09-15
114,2,0x101594,マサキじゃないの？,No es Masaki?,1,Isn't it Masaki?,1,ok
115,2,0x101f80,それより早くしないと…,"Mas que eso, hay que
apurarse...",2,"More than that, we
need to hurry...",2,rewrap-2026-09-15
115,2,0x1015a8,いいけど…手短にね,Esta bien...pero rapido,1,Fine...but make it quick,1,ok
116,2,0x1000dc,逃げる！,Voy a escapar!,1,I'm getting out of here!,1,ok
116,2,0x1009bc,…よく見て…,...Mira bien...,1,...Look closely...,1,ok
117,3,0x1014f4,少し調べてみない？,"No quieres investigar un
poco?",2,"Don't you want to
look into it a bit?",2,rewrap-2026-09-15
117,3,0x100d3c,どうしよう……,Que hago......,1,What do I do......,1,ok
117,3,0x1015f8,やっぱりやめておく,"Mejor lo dejo, despues
de todo",2,"I'll just drop it after
all",2,ok
118,3,0x102bd0,落ちてるの、拾えないかな…,"No podre recogerlo, esta
ahi tirado...",2,"Maybe I can grab
it lying there...",2,acortado-2026-09-15
118,3,0x102f8c,おまじないって、どうすれば…,"El hechizo, como se
hace...",2,"How do you even
do the charm...",2,rewrap-2026-09-15
118,3,0x1020d0,にらめっこ…しましょ…,"Juguemos...al juego de
miradas...",2,"Let's play...the
staring contest...",2,rewrap-2026-09-15
119,3,0x102770,…ご…ごめんね……リコ…,"...Lo...lo
siento......Riko...",2,"...I'm...sorry......
Riko...",2,ok
119,3,0x102100,キレイだって認めれば…,"Si admito que es
hermoso...",2,"If I just admit
it's beautiful...",2,rewrap-2026-09-15
