offset_hex,largo_bytes,texto_original,revisado,traduccion
0xd42e8,20,…レイカ………あっ。,,...Reika.........ah.
0xd4300,20,９…？どういうこと？,,"9...? What does that
mean?"
0xd4318,20,なにも起きないよ…。,,Nothing's happening...
0xd4330,20,ミズキ、指を離して！,,"Mizuki, let go of your
finger!"
0xd4348,20,神隠しにあうとか…。,,"Like being spirited
away..."
0xd4360,20,えっ…どういうこと？,,"Huh...what do you
mean?"
0xd4378,21,"マジ！？
やばいよ…。",,Really!? That's bad...
0xd4390,22,もう１回試してみよう。,,"Let's try it one more
time."
0xd43a8,22,この辺りを叩いてみて。,,"Try knocking around
here."
0xd43c0,22,お願い、もうやめよっ。,,"Please, let's stop
already."
0xd43d8,22,脚、ケガしてるんだ…。,,My leg is hurt...
0xd43f0,22,ダメだよ、危ないって！,,"No, it's dangerous!"
0xd4408,22,（かくまったようです）,,"(It seems you were
hidden away)"
0xd4420,22,あ…圏外だ。…なんで？,,"Ah...no signal.
...Why?"
0xd4438,22,時間的にはそうかもね。,,"It might be because of
the time."
0xd4450,23,"…いい？
指を置いて…。",,"...Ready? Put your
finger..."
0xd4468,24,なんで、ミズキのだけ…。,,Why only Mizuki's...?
0xd4484,24,大丈夫よ…落ち着いて…。,,"It's okay...calm
down..."
0xd44a0,24,（激しく叱責されました）,,"(You were scolded
harshly)"
0xd44bc,24,…どうぞ戻ってください。,,"...Please, return."
0xd44d8,24,…やっぱり…神隠しに…。,,"...In the end...she
was spirited away..."
0xd44f4,24,ここでやめたら……、ね？,,"If we stop here......,
is that okay?"
0xd4510,24,ゼッタイ離しちゃダメよ。,,"Don't let go of your
finger no matter what."
0xd452c,26,こんなメール、初めて見た。,,"I'd never seen a
message like that."
0xd4548,26,（少しだけ電波が届いてる）,,"(A little signal is coming
through)"
0xd4564,26,（…お願い…届いて…！！）,,"(...Please... let it get
through...!!)"
0xd4580,26,超やばすぎ…もうダメだ…。,,"This is bad... there's
nothing left to do..."
0xd459c,26,うーん、夕焼けがきれい…。,,"Mmm, what a pretty
sunset..."
0xd45b8,26,ここから風が来てたんだ…。,,"So the wind was coming
from here..."
0xd45d4,26,…か…み……か…く…し…？,,"...ka...mi......
ka...ku...shi...?"
0xd45f0,26,わっ、きっとヒトダマだよ。,,"Whoa, that's probably a
hitodama."
0xd460c,26,だったら他は同じかなあ…。,,"If that's the case,
maybe the others are the
same..."
0xd4628,26,（しかも…文字化けしてる）,,"(Also...it's got garbled
characters)"
0xd4644,26,…ううん…なんでもない…。,,...No...nothing...
0xd4660,26,じゃ、窓に近づけてみたら？,,"Then why don't you hold
it up to the window?"
0xd467c,26,しっ…集中…しないと……。,,"Shh...I need to
concentrate......"
0xd4698,26,……ゼッタイやばいって…。,,...This is really bad...
0xd46b4,26,（それは彼女の日記でした）,,(It was her diary)
0xd46d0,27,"・・・・・・
おかしいなあ。",,...... How strange.
0xd46ec,27,"…いくよ…。
深呼吸して…。",,"...Here goes... Take a
deep breath..."
0xd4708,28,（必死に行っていたようです）,,"(It seems she did it out
of desperation)"
0xd4728,28,上手く書けなかったみたい…。,,"Looks like I didn't write
it right..."
0xd4748,28,キツネだからＢでいいじゃん。,,"Since it's a fox, B
works, right?"
0xd4768,28,…神隠しに…あったのですか？,,"...Was she a victim of a
mysterious
disappearance?"
0xd4788,28,そうなんだけど、最初見た時、,,"That's right, but when I
first saw it,"
0xd47a8,28,なにそれ、関係ないと思うよ。,,"What's that, I don't
think it's related."
0xd47c8,28,コックリさん…質問します…。,,"Kokkuri-san...I have a
question..."
0xd47e8,28,写真？日記のような手帳も…。,,"A photo? Also a
diary-like notebook..."
0xd4808,28,風の音…、そうよ、きっと…。,,"The sound of the
wind..., that's right,
for sure..."
0xd4828,28,コックリさんをしてる時って、,,"When you're doing
Kokkuri-san,"
0xd4848,28,いま、首筋を誰かに触られた！,,"Someone just touched
the back of my neck!"
0xd4868,29,"じゃ、始めるよ。
指を置いて。",,"Alright, let's begin. Put
your finger down."
0xd4888,30,（１匹のキツネを看病しました）,,"(You nursed a fox back
to health)"
0xd48a8,30,やっぱ昼とは…なにか違うよね。,,"You can tell it's
different in the daytime,
right?"
0xd48c8,30,…コックリさん、質問します…。,,"Kokkuri-san...I have a
question..."
0xd48e8,30,…わかった、じゃ、最後の質問。,,"...Got it, alright, last
question."
0xd4908,30,…コックリさん…質問します…。,,"Kokkuri-san...I have a
question..."
0xd4948,31,"どっちでもいいから
早く決めて！",,"Either way is fine,
hurry up and decide!"
0xd4968,31,"もうやだ！
わたし、手離すから。",,"I don't want this
anymore! I'm letting
go."
0xd4988,32,…でも写ってたらよかったのに…。,,"...But it would've been
nice if it showed up in
the photo..."
0xd49ac,32,そういうの見抜くの、うまいから。,,"Because I'm good at
noticing those things."
0xd49d0,32,コックリさん、よくわかりました。,,"Kokkuri-san,
understood perfectly."
0xd49f4,32,足音…近づいてるし…増えてるし。,,"The footsteps are getting
closer...and there are
more of them..."
0xd4a18,32,とっととサクジョした方がいいよ。,,"You'd better just delete
it already."
0xd4a3c,32,結界を張ってるようなものでしょ。,,"It's like putting up a
protective barrier,
right?"
0xd4a60,32,ねえ、もう早く終わらせた方が…。,,"Hey, let's just finish
this quickly..."
0xd4a84,32,どっちもわりと有名な都市伝説…。,,"Both are pretty
well-known urban
legends..."
0xd4aa8,33,"静かに…。
他の場所を叩いてみて。",,"Quiet... Try knocking
somewhere else."
0xd4acc,33,"カナとメグミは…どこに
いますか？",,"Where are Kana and
Megumi...?"
0xd4af0,35,"中央のコインを触り続けて
ください。",,"Please keep touching the
center coin."
0xd4b14,35,"中央のコインを触り続けて
ください。",,"Please keep touching the
center coin."
0xd4b38,35,"うーん、たしか…９ばっかり
ズラリ。",,"Mmm, I'm sure it was
just a row of nines."
0xd4b5c,35,"コレ…、もっと前にもらった
メール。",,"This...is an email I got
before."
0xd4b80,35,"中央のコインを触り続けて
ください。",,"Please keep touching the
center coin."
0xd4ba4,35,"とりあえず救急箱の中を見て
みない？",,"For now, why don't we
look inside the first aid
kit?"
0xd4bc8,35,"調べたい場所をタッチ
してください。",,"Touch the spot you want
to examine."
0xd4bec,35,"調べたい場所をタッチ
してください。",,"Touch the spot you want
to examine."
0xd4c10,35,"ほら、ナナシだって
こう言ってるし。",,"Look, even Nanashi says
this."
0xd4c34,37,"ちょっとだけだから。
すぐに戻したし。",,"It's just a little bit. I put
it back right away."
0xd4c5c,37,"この状況だから、前向きに
考えようよ。",,"Given the situation,
let's think positive."
0xd4c84,37,"…Ａが鏡で…、
Ｂはキツネに神隠し…。",,"...A is the mirror..., B
is the fox that takes her
away..."
0xd4cac,37,"だーかーらー！
さっきも選んだでしょ？",,"I told you! We already
picked that before,
remember?"
0xd4cd4,37,"旧校舎に…
幽霊は写ってないみたい…。",,"In the old
building...looks like no
ghost showed up..."
0xd4cfc,37,"それと…この読める文字を
並べると…。",,"And also...if you
arrange these readable
letters..."
0xd4d24,37,"見て…、メモ機能に何か録音
されてる。",,"Look...there's
something recorded in
the notes."
0xd4d4c,37,"メグミが昨晩、最後に電話をした
人…。",,"The last person Megumi
called last night..."
0xd4d74,37,"そうなの？
ここ、いつも空白じゃない？",,"Really? This is always
blank, isn't it?"
0xd4d9c,37,"ミズキ、チェンメなんか保存
してるの？",,"Mizuki, are you keeping
chain emails?"
0xd4dc4,37,"だって…転送できないしょ、
こわくて。",,"It's just...I can't
forward it, it scares me."
0xd4dec,37,"（…なにこれ？
　…屋上で…待つ…？）",,"(...What is this?
...Wait... on the
rooftop...?)"
0xd4e14,39,"…ね、花壇のところ見て。
何か光ってる。",,"...Hey, look at the
garden. Something's
glowing."
0xd4e3c,39,"…最後が文字化け…？
わたしのはたしか、",,"...The last part is
unreadable...? Mine, I
think, was,"
0xd4e64,39,"（そして、キツネも殺される
　運命に…）",,"(And then, death awaits
the fox too...)"
0xd4e8c,39,"全部終わるまでコインから
離さないでね。",,"Don't let go of the coin
until we finish
everything."
0xd4eb4,39,"あの看護師の霊…そうとう
やつれていた。",,"That nurse
spirit...looked very
gaunt."
0xd4edc,39,"…そうだ…あの霊も大切に持って
いた…。",,"...That's right...that
spirit was also carrying
something precious..."
0xd4f04,39,"……ねえ……リコ……
……足音が………。",,"...Hey...Riko......
I hear
footsteps........."
0xd4f2c,39,"…コ、コックリさん、
よくわかりました。",,"K-Kokkuri-san,
understood perfectly."
0xd4f54,41,"拡大する位置を下画面か
十字ボタンで選び、",,"Choose where to zoom in
with the bottom screen
or the directional pad,"
0xd4f80,41,"…じゃ、カナたち、そのウワサを
信じて…。",,"...So, Kana and the
others believed that
rumor..."
0xd4fac,41,"（カナから…？
　なんでチェーンメール？）",,"(From Kana...? Why a
chain email?)"
0xd4fd8,41,"今…文字が…動いた…！？
どういうこと…？",,"Just now...the
letters...moved...!?
What does this
mean...?"
0xd5004,41,"タッチペンで下画面の
壁を叩いてください。",,"Tap the wall on the
bottom screen with the
stylus."
0xd5030,41,"あれ？題名にも文字が書かれて
なかった…？",,"Huh? Wasn't there also
text written in the
title...?"
0xd505c,41,"“Ｆｗ：”の隣に数字が浮かんで
いたのよ。",,"There was a number
floating next to Fw:."
0xd5088,41,"無視すると、ナナシが現れ、闇に
落ちる…。",,"If you ignore it, Nanashi
appears and you fall into
darkness..."
0xd50b4,41,"（古い字が多くて読みにくかった
　けど、）",,"(It had a lot of old
writing and was hard to
read, but,)"
0xd50e0,43,"びっくりして…コインから指が
離れちゃった。",,"I got so scared...that
my finger slipped off the
coin."
0xd510c,43,"“げっ、もうすぐ３時じゃん”って
思ったの。",,"I thought: oh no, it's
almost 3 already."
0xd5138,43,"さあ…すぐ消えちゃったから
見間違いかも…。",,"Well...it disappeared
fast, maybe I saw it
wrong..."
0xd5164,45,"と…とにかく最後まで…きちんと
やらないと…。",,"A-anyway, we have to
do it right till the end..."
0xd5194,45,"もし現れましたら、『はい』に
進んでください。",,"If it appears, proceed to
Yes."
0xd51c4,45,"だ、だ、大丈夫…。…気のせい…よ
…ははっ…。",,"I-it's fine...it's just
my
imagination...haha..."
0xd51f4,47,"“正確な未来がわかる。
場所は音楽室”だったよ。",,"It said: you can know
the exact future. The
place is the music room."
0xd5224,47,"うーん。たぶん、それって機種の
違いじゃないの？",,"Mmm. Maybe that's just
a difference in phone
models?"
0xd5254,47,"…まだ紙に置いてないのに、
指が汗ばんできた…。",,"...I haven't even put it
on the paper yet, and
my finger's already
sweating..."
0xd5284,47,"…それって旧校舎でコックリさんを
していた時…？",,"...Was that when they
were doing Kokkuri-san
in the old building...?"
0xd52b4,47,"（今度は救急箱にあった手帳を
　手に取りました）",,"(This time you picked up
the notebook that was in
the first aid kit)"
0xd52e4,47,"深夜に合わせ鏡をして
“かごめかごめ”を歌うと、",,"If at midnight you set up
two mirrors facing each
other and sing Kagome
Kagome,"
0xd5314,49,"霊と対話できる…とか、
夜中に狐の嫁入りと思われる",,"you can talk to spirits.
Also, at night you can
see something like a
kitsune no yomeiri,"
0xd5348,49,"決定ボタンをタッチするか
Ａボタンを押して下さい。",,"Touch the confirm button
or press the A button."
0xd537c,49,"（まだ転送できる２４時間の
　期限に間に合うはず）",,"(I should still make the
24-hour deadline to
forward it)"
0xd53b0,49,"（しかしキツネの治療に薬を
　使ったことがばれて）",,"(But it was discovered
that she used medicine
to treat the fox,)"
0xd53e4,49,"でも…コックリさんって…
霊との対話なんでしょ…。",,"But...Kokkuri-san is
about talking with
spirits, isn't it...?"
0xd5418,49,"あたし、ケンガイになると、
すっごい不安になるの。",,"When I lose signal, it
makes me really
anxious."
0xd544c,49,"してないよぉ、そんな怖いことする
わけないでしょ。",,"I didn't do it, there's
no way I'd do something
so awful."
0xd5480,51,"（彼女は、ここで空襲で負傷
　した患者たちの看護を）",,"(Here, she cared for
patients wounded in the
bombing,)"
0xd54b4,51,"（そして彼女はある時、
　人間と同じように傷ついた）",,"(And at some point, she
too was wounded just
like a human)"
0xd54e8,51,"３人のうち、…メグミとカナの
行方がわかりません…。",,"Of the three...we don't
know where Megumi and
Kana are..."
0xd551c,53,"（昨晩、カナから送られてきた
　チェーンメールは…、）",,"(The chain email Kana
sent last night was...,)"
0xd5554,53,"これってさ、ナナシからのナゾ
を解くヒントじゃないの。",,"You know, couldn't this
be a clue to solve
Nanashi's riddle?"
0xd558c,53,"今、中途半端に手を離したら…
…まわりの霊が一斉に…。",,"If I let go halfway
now...all the spirits
around us at once..."
0xd55c4,53,"（ナナシに…会える…なんて…
　ちょっと甘かったかな）",,"(Thinking I could meet
Nanashi...was naive of
me)"
0xd55fc,55,"“問題”っていうからには、
どっちかが“正解”ってこと？",,"If they call it a problem,
does that mean one of
the two is the correct
answer?"
0xd5634,55,"もっと壊して穴を広げてみよう。
何かあるかもしれない…。",,"Let's break more and
widen the hole. Maybe
there's something..."
0xd566c,55,"そういえば…文字の大きさや形が
ビミョーに違ったような。",,"Come to think of it...
the size and shape of the
letters looked a little
different."
0xd56a4,55,"（しかし看護師は思いあまって
　キツネを校舎のどこかに）",,"(But the nurse, unable
to bear it, hid the fox
somewhere in the
school,)"
0xd56dc,55,"あ…そういえば、メールを見た時は
まだ２時台だったはず。",,"Ah...now that I think
about it, it was still
around 2 when I saw the
email."
0xd5714,55,"昨日、旧校舎でコックリさんをした
アリサ、メグミ、カナを",,"Yesterday, Arisa,
Megumi, and Kana, who
did Kokkuri-san in the
old building,"
0xd574c,55,"（カナからのチェーンメールだって
　どうしたらいいか、）",,"(About Kana's chain
email, what to do with
it,)"
0xd5784,57,"たくさんのヒトダマを見た時、
“とおりゃんせ”を歌わないと",,"When you see a lot of
hitodama, if you don't
sing Toryanse,"
0xd57c0,59,"ね、ひょっとして、コックリさんの
こと、キツネの霊だからって",,"Hey, isn't it that
Kokkuri-san, since it's
a fox spirit,"
0xd57fc,59,"もしも、カナが何か危険を感じて、
急にメールを転送したら…。",,"If Kana sensed some
danger and suddenly
forwarded the email..."
0xd5838,10,ひぃっ…。,,Hii...
0xd5844,12,よかった…。,,What a relief...
0xd5854,16,よ…よかった…。,,W-what a relief...
0xd5868,20,何にも聞こえない…。,,I can't hear anything...
0xd5880,24,うわ…ヤバイってコレ…。,,Uh-oh...this is bad...
0xd589c,26,ユーレイがいる証拠でしょ？,,"That's proof there's a
ghost, right?"
0xd58b8,33,"あ。
でもいちおー登録しといたら？",,"Ah. But why don't you
save it just in case?"
0xd58dc,33,"……ノイズ…？
いや、何かの声…？",,"...Noise...? No, is
that like a voice...?"
0xd5900,39,"あとで確認すればいいから、
もう行こう？",,"We can check it later,
let's go already?"
0xd5928,41,"なにか写ってたら
どうしようかと思った…。",,"I thought about what I'd
do if something showed
up in the photo..."
0xd5954,6,さあ？,,Who knows?
0xd595c,6,ほら。,,Look.
0xd5964,6,ひっ。,,Hii.
0xd596c,6,さあ？,,Who knows?
0xd5974,6,はっ！,,Ha!
0xd597c,6,マジ？,,Really?
0xd5984,6,ひっ。,,Hii.
0xd598c,6,さあ？,,Who knows?
0xd5994,6,うん。,,Yeah.
0xd599c,6,うん。,,Yeah.
0xd59a4,6,警察？,,The police?
0xd59ac,6,マジ？,,Really?
0xd59b4,6,楽譜？,,Sheet music?
0xd59bc,8,うん…。,,Yeah...
0xd59c8,8,そうだ！,,That's right!
0xd59d4,8,レイカに,,Call Reika
0xd59e0,8,えっ！？,,Huh!?
0xd59ec,8,…うん。,,...Yeah.
0xd59f8,8,…はい。,,...Yes.
0xd5a04,8,アリサ！,,Arisa!
0xd5a10,8,いやあ！,,No!
0xd5a1c,8,アリサ！,,Arisa!
0xd5a28,8,レイカに,,Call Reika
0xd5a34,8,だーめ。,,Nooo.
0xd5a40,8,うん…。,,Yeah...
0xd5a4c,8,はっ…。,,Ah...
0xd5a58,8,“いま”,,"""now"""
0xd5a70,8,ホント？,,Really?
0xd5a7c,8,…カナ？,,...Kana?
0xd5a88,10,そうだね。,,That's right.
0xd5a94,10,ひぃっ…。,,Hii...
0xd5aa0,10,うーん…。,,Mmm...
0xd5aac,10,閉め忘れ？,,"Did they forget to lock
it?"
0xd5ab8,10,まさか…。,,No way...
0xd5ac4,10,うーん…。,,Mmm...
0xd5ad0,10,カナ……。,,Kana......
0xd5adc,10,保健室…。,,The nurse's office...
0xd5ae8,10,そうだね。,,That's right.
0xd5af4,10,リコ……。,,Riko......
0xd5b00,10,やめなよ。,,Stop it already.
0xd5b0c,10,いや……。,,No......
0xd5b18,10,閉め忘れ？,,"Did they forget to lock
it?"
0xd5b24,10,そんな…。,,No way...
0xd5b30,10,えっ……。,,Huh......
